avatar,category,delivery_fee,delivery_time,distance,name,price_range,rating,url
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201803131616_0d76dc22-906f-4cac-8bd6-aeccbb59e84d.png",Carnes,4.9,40,1.25,Villa D' Marco Costelaria,CHEAP,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/villa-d-marco-costelaria-jardim-santa-madalena/0d76dc22-906f-4cac-8bd6-aeccbb59e84d
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201803261848_8af6103d-11f1-4e21-b3f3-65ec3713a2fa.png",Lanches,5.0,60,4.8,Rbc Polpas Detox,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/rbc-polpas-detox-vila-tatetuba/8af6103d-11f1-4e21-b3f3-65ec3713a2fa
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201803271417_6028b8a3-e5b5-4762-afec-d73e2c264763.jpg",Italiana,4.9,40,1.36,Bravo Massas,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/bravo-massas-jardim-sao-dimas/6028b8a3-e5b5-4762-afec-d73e2c264763
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/ea3ac8cc-93f3-47e4-9803-4019feb4ea1b/201811032226_45327.jpg",Salgados,3.0,60,4.57,Ma Toledo Cozinha,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/ma-toledo-cozinha-jardim-da-granja/ea3ac8cc-93f3-47e4-9803-4019feb4ea1b
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201804120745_4c76b0c4-9d55-4791-a95b-add57657a29e.jpg",Variada,5.0,50,4.58,Basilica Tattoo Bar,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/basilica-tattoo-bar-jardim-satelite/4c76b0c4-9d55-4791-a95b-add57657a29e
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201804120827_da427fe9-68ec-4651-8f55-7a9b19295216.jpg",Variada,5.0,50,3.85,Ludy Sorvetes,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/ludy-sorvetes-jardim-america/da427fe9-68ec-4651-8f55-7a9b19295216
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201804231710_cab33a16-a9ef-4364-a58f-34a4ce5f9933.png",Lanches,5.0,40,3.17,The House Boards & Burgers,MODERATE,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/the-house-boards--burgers-jardim-alvorada/cab33a16-a9ef-4364-a58f-34a4ce5f9933
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201805040724_3f87e348-30d2-4a52-9261-972c32485fe2.png",Lanches,6.0,30,3.84,Cabana Lanches,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/cabana-lanches-jardim-altos-de-santana/3f87e348-30d2-4a52-9261-972c32485fe2
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/c720da0d-7499-4aaa-90ce-9a22a4753819/201805061725_face_.jpg",Brasileira,0.0,39,2.75,"Cris, Comida Caseira",CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/cris-comida-caseira-jardim-paulista/c720da0d-7499-4aaa-90ce-9a22a4753819
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201805101047_2c3a4f03-3d3e-455d-8e17-0ac3b2c82e43.png",Brasileira,5.0,35,2.04,Empanadas da Vovó,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/empanadas-da-vovo-jardim-augusta/2c3a4f03-3d3e-455d-8e17-0ac3b2c82e43
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201804181527__NATUR_ELITE.png",Sorvetes,4.0,30,3.23,Natureba -jardim Satélite,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/natureba--jardim-satelite-jardim-satelite/b8790f52-2205-44e2-96cc-a78eababa5e1
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/a96d03f1-846b-4f2f-9df3-38951d88bee4/201807152002_stopl.jpg",Variada,0.0,40,3.58,Stop Burguer,CHEAP,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/stop-burguer-jardim-das-industrias/a96d03f1-846b-4f2f-9df3-38951d88bee4
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201806130920_b862f458-8ed4-458c-9eae-6b53b87b0198.jpg",Pizza,6.0,40,5.11,Kipizza Delivery,CHEAP,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/kipizza-delivery-jardim-colorado/b862f458-8ed4-458c-9eae-6b53b87b0198
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/740f4cd4-efd9-4c30-998e-54d2f8e9722c/201807122204_logod.png",Pizza,5.0,90,3.72,Dom Pizzaria,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/dom-pizzaria-parque-industrial/740f4cd4-efd9-4c30-998e-54d2f8e9722c
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201904161742_1c5c51ff-b2df-4f92-9856-0d823fe23cbb.jpg",Cozinha Rápida,0.0,30,0.94,Sanja's Burguer,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/sanjas-burguer-jardim-apolo/1c5c51ff-b2df-4f92-9856-0d823fe23cbb
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201808201515_251a8f4c-86ce-49d0-aad3-8d0775f12f63.png",Pizza,5.0,55,3.41,Sabor Gourmet,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/sabor-gourmet-jardim-satelite/251a8f4c-86ce-49d0-aad3-8d0775f12f63
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/80732133-6121-41d2-abcb-fb0e73ac4685/201808252135_logo4.png",Lanches,2.99,60,3.0,Hamburgueria do Alemao,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/hamburgueria-do-alemao-vila-nair/80732133-6121-41d2-abcb-fb0e73ac4685
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/dc4083b6-8d0b-4e6a-b411-8bb439b70555/201809060042_ocerto.jpg",Doces & Bolos,0.0,60,2.98,Big Waffles Delivery,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/big-waffles-delivery-jardim-satelite/dc4083b6-8d0b-4e6a-b411-8bb439b70555
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201808300717_f9b0b564-2c4d-444f-8c51-239999028c97.png",Lanches,4.0,35,2.71,Tempero de Mae Moco,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/tempero-de-mae-moco-jardim-augusta/f9b0b564-2c4d-444f-8c51-239999028c97
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/af5cb37f-cc4e-4e2a-8c4f-08d38501e444/201809111219_a848c.jpg",Brasileira,1.5,25,2.96,Restaurante Marmitaria el Shaday,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/restaurante-marmitaria-el-shaday-jardim-paulista/af5cb37f-cc4e-4e2a-8c4f-08d38501e444
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201809031037_e0a3ec1d-605c-4c63-80e6-98f28c2217e4.png",Carnes,4.9,60,3.86,Familia Paschoal Grill,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/familia-paschoal-grill-jardim-america/e0a3ec1d-605c-4c63-80e6-98f28c2217e4
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/b5397725-9af7-4e8b-b06f-59be27b2c8c5/201809101710_acaid.jpg",Saudável,7.0,30,5.31,Acai do Oriente,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/acai-do-oriente-jardim-oriente/b5397725-9af7-4e8b-b06f-59be27b2c8c5
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201809151623_a6ee9c27-3869-4e4f-9d63-ac6face86921.jpg",Brasileira,7.0,75,3.54,Villa do Acai,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/villa-do-acai-jardim-das-industrias/a6ee9c27-3869-4e4f-9d63-ac6face86921
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/3d5b1d2d-2390-4be2-93af-ee395d0584a2/201809261853_logo.png",Lanches,8.0,55,4.41,Tempero do Vale,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/tempero-do-vale-jardim-das-industrias/3d5b1d2d-2390-4be2-93af-ee395d0584a2
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201809242030_f50ff1a5-ca52-412f-a586-9c33937e6ff1.png",Marmita,7.0,70,5.49,Palito Salgados e Lanches.,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/palito-salgados-e-lanches-cidade-morumbi/f50ff1a5-ca52-412f-a586-9c33937e6ff1
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/b66e4ecf-f30e-4a28-99bd-ea3dafe4a210_DOTOR_ARIUS.jpg",Brasileira,4.9,60,4.37,Dotor Delivery - Jd. Aquarius,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/dotor-delivery---jd-aquarius-parque-residencial-aquarius/9a037256-85a7-4040-a094-f87dd076a91a
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201810181117_6619323c-ec79-4968-b9ae-3e70cf5be834.jpg",Lanches,6.0,80,3.56,Gringo Smokehouse,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/gringo-smokehouse-jardim-das-industrias/6619323c-ec79-4968-b9ae-3e70cf5be834
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201811120853_8edbc7e5-21c8-4af6-8ba7-89bfb7663fb1.png",Pizza,12.5,72,6.21,Ritorno Della Pizza,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/ritorno-della-pizza-cidade-morumbi/8edbc7e5-21c8-4af6-8ba7-89bfb7663fb1
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201811201309_ef41eea3-c234-4771-bb57-809195ddafa4.png",Bebidas,8.5,59,6.0,Adegapetisco,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/adegapetisco-jardim-santa-matilde/ef41eea3-c234-4771-bb57-809195ddafa4
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201811231715_bf5821f2-3a28-4a80-acf5-2f7384b1f2c2.png",Brasileira,3.0,40,2.34,Chico's Food,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/chicos-food-centro/bf5821f2-3a28-4a80-acf5-2f7384b1f2c2
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201811261048_14a9a6cd-8a60-4fd4-a167-ee82068b39ad.png",Vegetariana,4.9,40,1.84,Raíz da Villa,MODERATE,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/raiz-da-villa-vila-betania/14a9a6cd-8a60-4fd4-a167-ee82068b39ad
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201811261151_9f43fc7c-375d-4a98-8593-f7c1de58e2f6.png",Brasileira,4.9,40,1.44,Seu Maxixe,CHEAP,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/seu-maxixe-jardim-sao-dimas/9f43fc7c-375d-4a98-8593-f7c1de58e2f6
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201811282049_79837e91-e717-432e-ae31-0a3b159c0b7e.png",Brasileira,4.9,31,2.24,Hora Extra,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/hora-extra-centro/79837e91-e717-432e-ae31-0a3b159c0b7e
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/324ca7fd-471e-4bbc-9a7a-1a024f6b5cca/201812101601_image.jpg",Doces & Bolos,9.9,80,8.67,D'polly Bolos,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/dpolly-bolos-conjunto-residencial-dom-pedro-ii/324ca7fd-471e-4bbc-9a7a-1a024f6b5cca
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/201812121727_2de3eb18-b63d-413e-b091-69d69e71fa4c.jpg",Brasileira,4.9,60,1.05,Guten Bier,CHEAP,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/guten-bier-jardim-nova-america/2de3eb18-b63d-413e-b091-69d69e71fa4c
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/89d2c649-9d9d-47eb-9cc9-e368032e90d0/201903231843_image.png",Bebidas,9.0,80,6.8,Petiscosbeer☆,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/petiscosbeer-jardim-valparaiba/89d2c649-9d9d-47eb-9cc9-e368032e90d0
"https://static-images.ifood.com.br/image/upload/f_auto,t_high/logosgde/d4760922-4a82-4bf9-aba7-7c43a686a6fd/201903301716_bdOX_i.jpg",Brasileira,4.9,40,0.49,Yasai,CHEAPEST,0.0,https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/yasai-jardim-nova-america/d4760922-4a82-4bf9-aba7-7c43a686a6fd
